"College_code","Dept","1G","1K","1R","2AG","2AK","2AR","2BG","2BK","2BR","3AG","3AK","3AR","3BG","3BK","3BR","GM","GMK","GMR","SCG","SCK","SCR","STG","STK","STR"
"E184","AI Artificial
Intelligence","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","180608","--","--","--","--","--","--","--","--"
"E184","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","167447","--","--","--","--","--","--","--","--"
"E184","CS","153187","--","--","136069","--","151082","112078","--","--","89969","--","121843","129144","--","--","75466","108465","110843","138606","--","156795","100874","--","--"
"E184","EC","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","177793","--","--","--","--","--","--","--","--"
"E184","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E185","AD Artificial
Intel, Data Sc","--","--","--","153418","--","--","--","--","--","--","--","--","119199","--","--","117973","142897","182741","121582","--","--","--","--","--"
"E185","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","142815","--","--","--","--","--","--","--","--"
"E185","CS","76137","--","--","66600","80109","94002","58437","--","--","57813","--","--","51526","--","78800","49789","54723","59173","98209","--","132022","58941","--","--"
"E185","EC","136149","--","--","101260","--","--","109134","--","--","121917","--","--","78676","--","--","76446","85486","111857","107647","--","--","175227","--","--"
"E185","EE","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","171046","--","--","--","--","--","--","--","--"
"E185","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E186","AE","--","--","--","165962","--","--","163653","--","--","128643","--","--","152080","--","--","125039","--","163847","--","--","--","--","--","--"
"E186","BM","169313","--","--","162151","--","--","181601","--","--","--","--","--","--","--","--","147215","--","--","178811","--","--","--","--","--"
"E186","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E186","CS","64426","--","--","70281","120187","123654","50335","--","--","46136","--","--","59927","--","67887","42170","60725","60295","84937","--","145213","71623","--","--"
"E186","EC","--","--","--","140901","--","--","--","--","--","121521","--","--","157457","--","--","113127","--","--","--","--","--","--","--","--"
"E186","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"E186","SE Aero Space
Engg.","--","--","--","129507","--","--","139833","--","--","69013","--","--","71577","--","--","65345","121774","101551","108542","--","--","79333","--","--"
