College_code,Dept,1G,2AG,2AR,2BG,3AG,3AR,3BG,GM,GMK,GMR,SCG,SCR,STG,STR,1R,2AK,2BR,3BR,SCK,3BK,2BK,STK,1K,3AK
E021,EC,10592.26,10773.23,13754.41,14518.51,9155.42,,8374.82,6880.06,11700.41,8579.99,25634.4,32175.91,17691.24,26862.84,,,,,,,,,,
E021,EE,23443.78,28364.58,40344.36,26255.99,20798.8,,23421.47,19634.08,30890.07,22557.04,50575.54,55008.73,37240.37,,,,,30836.26,,,,,,
E021,EN,,,,,,,,164800.82,,,,,,,,,,,,,,,,
E021,IP,133192.86,144784.42,,141024.5,105180.14,,111674.66,99429.77,104230.74,127275.58,162014.08,,149512.58,,,,,,,,,,,
E021,ME,93877.61,66763.39,77348.18,72566.67,56733.76,,54500.81,48673.25,76192.77,67198.32,113309.15,171378.36,79545.97,,,90114.92,,,,,,,,
E021,PT,,,,,,,,182766.2,,,,,,,,,,,,,,,,
E021,EI,48138.86,36225.38,47919.22,40746.32,25773.88,,29051.56,24278.42,36054.34,30933.02,105762.12,164633.46,70339.74,,,,,,,,,,,
E022,CV,114780.19,135968.24,,144752.49,120351.08,,145837.65,90474.81,96807.41,117339.45,137584.44,,143206.8,,153575.54,,,,189353.8,,,,,
E022,EC,16909.97,15005.76,19474.04,15273.52,11626.89,,11744.19,10141.93,19565.38,14690.06,34625.41,46804.79,22722.63,,,22096.04,,,,,,,,
E022,ME,80176.48,76160.48,81538.78,79419.78,55610.34,,55303.47,48217.9,76243.69,60837.6,121824.47,165751.2,109249.77,,,,,,,,,,,
E023,AU,,,,,,,,166817.86,,,,,,,,,,,,,,,,
E023,CV,,,,,,,,187981.73,,,,,,,,,,,,,,,,
E023,EC,37002.12,29628.95,31855.67,27124.62,25165.21,,25258.24,24172.47,30162.02,26569.09,62818.86,91110.73,51340.81,,,,77895.33,,,,,,,
E023,EE,59919.57,67875.63,90784.16,50684.26,45854.81,,47436.36,42405.15,60921.58,54219.84,95716.29,97605.6,105023.08,,,,,,,,,,,
E023,IP,,,,,,,,162639.26,,,,,,,,,,,,,,,,
E023,ME,,,,,,,,192595.63,,,,,,,,,,,,,,,,
E024,CV,,,,,,,,180281.1,,,,,,,,,,,,,,,,
E024,EC,43993.82,31524.37,39921.45,42549.27,27562.84,,29484.59,25871.67,31197.43,33461.25,76916.1,101016.2,67640.44,99112.56,,,,,,41517.17,,,,
E024,EE,93991.54,70894.99,80703.41,85495.71,49209.64,,65743.69,51736.81,57286.43,66462.15,110793.32,103423.94,115996.74,140424.3,,,,,,,,,,
E024,ME,,,,,,,,191381.83,,,,,,,,,,,,,,,,
E028,CD,131695,131431.56,,150316.08,,,,118190.34,,156260.6,187291.26,,,,,,,,,,,,,
E028,CV,,,,,,,,179288.66,,,,,,,,,,,,,,,,
E028,CS,67625.51,80834.71,97799.3,76380.76,76436.86,,62260.73,55272.97,65391.51,65707.82,109637.14,,104321.36,129797.3,,,,73515.7,,,,,,
E028,EA,,,,,,,,142709.86,,,,,,,,,,,,,,,,
E028,EC,137433.42,115485.77,132686.64,135758.3,119644.76,,81921.48,77729.16,,85848.23,144689.71,,,,,,,,,,,,,
E028,EE,,,,,,,,180440.16,,,,,,,,,,,,,,,,
E029,CS,99180.59,101663.31,112448.72,94845.76,93845.04,,89069.92,87374.18,85494.44,93456.44,144667.35,158060.56,140711.3,,,,,,,,,,,
E029,EC,,152086.06,,144173.57,162604.32,,152827.82,134340.9,,144587.58,164910.03,,183241.76,,,,,,,,,,,
E029,RI,,,,,,,,187897.02,,,,,,,,,,,,,,,,
E030,CV,81429.02,59193.94,141681.3,51033,57589.58,,46248.6,41883.12,50683.56,68779.28,98844.04,,67214.44,,,,,61671.82,,,,,,
E030,EC,14065.68,11091.14,14330.28,15278.36,10340.16,,8241.18,7425.18,8787.88,11567.46,30295,34407.28,17369.92,,,,,,,,,,,
E030,EE,28537.4,29626.08,36124.98,35171.16,27909.16,,28553.18,21491.68,24226.1,26426.4,62586.16,115558.46,43935.54,,,,,,,,,,,
E030,ME,96130.12,78528.48,,86469.46,58597.82,,58817.68,51194.46,66302.94,81175.02,100678.62,,88810.18,,,,,,,,,,,
E031,CV,,,,,,,,186380.31,,,,,,,,,,,,,,,,
E031,CS,24068.32,19361.54,23692.72,23054.53,21202.27,,18218.81,16276.33,16701.62,18173.02,40152.14,46153.21,37588.36,,,,30116.76,,,,,41984.6,,
E031,EC,31664.27,29053.94,32601.15,37787.97,30795.36,48045.46,26694.28,24889.14,25168.72,26970.16,66651.96,80759.36,80733.96,,52142.46,,,,,,,,,
E031,EE,77150.98,75843.25,,68889.3,62214.59,,56323.04,51978.26,53875.69,61631.65,149364.66,,135798.56,,,,,,,,115465.96,,,
E031,IP,,,,,,,,181153.63,,,,,,,,,,,,,,,,
E031,ME,,,,,,,,193697.9,,,,,,,,,,,,,,,,
